"name","male_offspring","female_offspring","sport","checked"
"Lance Armstrong",NA,NA,"tour_de_france",FALSE
"Jan Ullrich",NA,NA,"tour_de_france",FALSE
"Joseba Beloki ",NA,NA,"tour_de_france",FALSE
"Christophe Moreau",NA,NA,"tour_de_france",FALSE
"Roberto Heras",NA,NA,"tour_de_france",FALSE
"Richard Virenque",NA,NA,"tour_de_france",FALSE
"Santiago Botero",NA,NA,"tour_de_france",FALSE
"Fernanado Escartin",NA,NA,"tour_de_france",FALSE
"Francisco Mancebo",NA,NA,"tour_de_france",FALSE
"Daniele Nardello",NA,NA,"tour_de_france",FALSE
"Manuel Beltran",NA,NA,"tour_de_france",FALSE
"Pascal Herve",NA,NA,"tour_de_france",FALSE
"Javier Otxoa",NA,NA,"tour_de_france",FALSE
"Felix Manuel Garcia",NA,NA,"tour_de_france",FALSE
"Alexander Vinokourov",NA,NA,"tour_de_france",FALSE
"Roberto Conti",NA,NA,"tour_de_france",FALSE
"Kurt Van De Wouwer",NA,NA,"tour_de_france",FALSE
"Guido Trentin",NA,NA,"tour_de_france",FALSE
"Jean Cyril Robin",NA,NA,"tour_de_france",FALSE
"Geert Verheyen",NA,NA,"tour_de_france",FALSE
"Peter Luttenberger",NA,NA,"tour_de_france",FALSE
"Andrei Kivilev",NA,NA,"tour_de_france",FALSE
"Igor Gonzalez",NA,NA,"tour_de_france",FALSE
"Francois Simon",NA,NA,"tour_de_france",FALSE
"Oscar Sevilla",NA,NA,"tour_de_france",FALSE
"Marcos Antonio Seraano",NA,NA,"tour_de_france",FALSE
"Michael Boogerd",NA,NA,"tour_de_france",FALSE
"Didier Rous",NA,NA,"tour_de_france",FALSE
"Inigo Chaurreau",NA,NA,"tour_de_france",FALSE
"Stefano Garzelli",NA,NA,"tour_de_france",FALSE
"Alexander Bocharov",NA,NA,"tour_de_france",FALSE
"Bobby Julich",NA,NA,"tour_de_france",FALSE
"Laurent Jalabert",NA,NA,"tour_de_france",FALSE
"Carlos Sastre",NA,NA,"tour_de_france",FALSE
"Tomasz Brozyna",NA,NA,"tour_de_france",FALSE
"Raimondas Rumsas",NA,NA,"tour_de_france",FALSE
"Jose Azevedo",NA,NA,"tour_de_france",FALSE
"Levi Leipheimer",NA,NA,"tour_de_france",FALSE
"Ivan Basso",NA,NA,"tour_de_france",FALSE
"David Monoutie",NA,NA,"tour_de_france",FALSE
"Massimiliano Lelli",NA,NA,"tour_de_france",FALSE
"Tyler Hamilton",NA,NA,"tour_de_france",FALSE
"Stephane Goubert",NA,NA,"tour_de_france",FALSE
"Unia Osa",NA,NA,"tour_de_france",FALSE
"Nicolas Vogondy",NA,NA,"tour_de_france",FALSE
"Nicki Sorensen",NA,NA,"tour_de_france",FALSE
"Spain",NA,NA,"tour_de_france",FALSE
"Iban Mayo",NA,NA,"tour_de_france",FALSE
"Denis Menchov",NA,NA,"tour_de_france",FALSE
"Georg Totschnig",NA,NA,"tour_de_france",FALSE
"Jorg Jaksche",NA,NA,"tour_de_france",FALSE
"Roberto Laiseka",NA,NA,"tour_de_france",FALSE
"Jose Luis Rubiera",NA,NA,"tour_de_france",FALSE
"Laurent Dufaux",NA,NA,"tour_de_france",FALSE
"Andreas Kloden",NA,NA,"tour_de_france",FALSE
"Oscar Pereiro",NA,NA,"tour_de_france",FALSE
"Pietro Caucchioli",NA,NA,"tour_de_france",FALSE
"Vladimir Karpets",NA,NA,"tour_de_france",FALSE
"Michael Rasmussen",NA,NA,"tour_de_france",FALSE
"Sandy Casar",NA,NA,"tour_de_france",FALSE
"Gilberto Simoi",NA,NA,"tour_de_france",FALSE
"Thomas Voeckler",NA,NA,"tour_de_france",FALSE
"Axel Merckx",NA,NA,"tour_de_france",FALSE
"Cadel Evans",NA,NA,"tour_de_france",FALSE
"Floyd Landis",NA,NA,"tour_de_france",FALSE
"Yaroslav Popovych",NA,NA,"tour_de_france",FALSE
"Eddy Mazzoleni",NA,NA,"tour_de_france",FALSE
"George Hincapie",NA,NA,"tour_de_france",FALSE
"Haimar Zubeldia",NA,NA,"tour_de_france",FALSE
"Andrey Kashechkin",NA,NA,"tour_de_france",FALSE
"Giuseppe Guerini",NA,NA,"tour_de_france",FALSE
"Cyril Dessel",NA,NA,"tour_de_france",FALSE
"Michael Rogers",NA,NA,"tour_de_france",FALSE
"Frank Schleck",NA,NA,"tour_de_france",FALSE
"Damiano Cunego",NA,NA,"tour_de_france",FALSE
"Markus Fothen",NA,NA,"tour_de_france",FALSE
"Tadej Valjavec",NA,NA,"tour_de_france",FALSE
"Marzio Bruseghin",NA,NA,"tour_de_france",FALSE
"David Arroyo",NA,NA,"tour_de_france",FALSE
"Alberto Contado",NA,NA,"tour_de_france",FALSE
"Alejandro Valverde",NA,NA,"tour_de_france",FALSE
"Kim Kirchen",NA,NA,"tour_de_france",FALSE
"Mikel Astarloza",NA,NA,"tour_de_france",FALSE
"Juan Mauricio Soler",NA,NA,"tour_de_france",FALSE
"Chris Horner",NA,NA,"tour_de_france",FALSE
"Jose Juan Cobo",NA,NA,"tour_de_france",FALSE
