name,country,result,event,male_offspring,female_offspring,source,comment,result_source
Stephen Kiprotich,Uganda,2:08:01,olympic_marathon_2012,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_marathon
Abel Kirui,Kenya,2:08:27,olympic_marathon_2012,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_marathon
Wilson Kipsang Kiprotich,Kenya,2:09:37,olympic_marathon_2012,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_marathon
Mebrahtom Keflezighi,United States,2:11:06,olympic_marathon_2012,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_marathon
Marilson Dos Santos,Brazil,2:11:10,olympic_marathon_2012,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_marathon
Kentaro Nakamoto,Japan,2:11:16,olympic_marathon_2012,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_marathon
Cuthbert Nyasango,Zimbabwe,2:12:08,olympic_marathon_2012,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_marathon
Paulo Roberto Paula,Brazil,2:12:17,olympic_marathon_2012,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_marathon
Henryk Szost,Poland,2:12:28,olympic_marathon_2012,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_marathon
Ruggero Pertile,Italy,2:12:45,olympic_marathon_2012,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_marathon
Viktor Röthlin,Switzerland,2:12:48,olympic_marathon_2012,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_marathon
Oleksandr Sitkovskyy,Ukraine,2:12:56,olympic_marathon_2012,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_marathon
Franck De Almeida,Brazil,2:13:35,olympic_marathon_2012,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_marathon
Aleksey Reunkov,Russia,2:13:49,olympic_marathon_2012,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_marathon
Wirimai Juwawo,Zimbabwe,2:14:09,olympic_marathon_2012,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_marathon
Michael Shelley,Australia,2:14:10,olympic_marathon_2012,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_marathon
Emmanuel Kipchirchir Mutai,Kenya,2:14:49,olympic_marathon_2012,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_marathon
Rachid Kisri,Morocco,2:15:09,olympic_marathon_2012,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_marathon
Yared Asmerom,Eritrea,2:15:24,olympic_marathon_2012,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_marathon
Dylan Wykes,Canada,2:15:26,olympic_marathon_2012,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_marathon
Raúl Pacheco,Peru,2:15:35,olympic_marathon_2012,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_marathon
Eric Gillis,Canada,2:16:00,olympic_marathon_2012,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_marathon
