name,country,rank,event,male_offspring,female_offspring,source,comment,result_source
Lance Armstrong,United States,1,tour_de_france_2000,,,,,https://en.wikipedia.org/wiki/2000_Tour_de_France#General_classification
Jan Ullrich,Germany,2,tour_de_france_2000,,,,,https://en.wikipedia.org/wiki/2000_Tour_de_France#General_classification
Joseba Beloki ,Spain,3,tour_de_france_2000,,,,,https://en.wikipedia.org/wiki/2000_Tour_de_France#General_classification
Christophe Moreau,France,4,tour_de_france_2000,,,,,https://en.wikipedia.org/wiki/2000_Tour_de_France#General_classification
Roberto Heras,Spain,5,tour_de_france_2000,,,,,https://en.wikipedia.org/wiki/2000_Tour_de_France#General_classification
Richard Virenque,France,6,tour_de_france_2000,,,,,https://en.wikipedia.org/wiki/2000_Tour_de_France#General_classification
Santiago Botero,Colombia,7,tour_de_france_2000,,,,,https://en.wikipedia.org/wiki/2000_Tour_de_France#General_classification
Fernanado Escartin,Spain,8,tour_de_france_2000,,,,,https://en.wikipedia.org/wiki/2000_Tour_de_France#General_classification
Francisco Mancebo,Spain,9,tour_de_france_2000,,,,,https://en.wikipedia.org/wiki/2000_Tour_de_France#General_classification
Daniele Nardello,Italy,10,tour_de_france_2000,,,,,https://en.wikipedia.org/wiki/2000_Tour_de_France#General_classification
Manuel Beltran,Spain,11,tour_de_france_2000,,,,,https://en.wikipedia.org/wiki/2000_Tour_de_France#General_classification
Pascal Herve,France,12,tour_de_france_2000,,,,,https://en.wikipedia.org/wiki/2000_Tour_de_France#General_classification
Javier Otxoa,Spain,13,tour_de_france_2000,,,,,https://en.wikipedia.org/wiki/2000_Tour_de_France#General_classification
Felix Manuel Garcia,Spain,14,tour_de_france_2000,,,,,https://en.wikipedia.org/wiki/2000_Tour_de_France#General_classification
Alexander Vinokourov,Kazakhstan,15,tour_de_france_2000,,,,,https://en.wikipedia.org/wiki/2000_Tour_de_France#General_classification
Roberto Conti,Italy,16,tour_de_france_2000,,,,,https://en.wikipedia.org/wiki/2000_Tour_de_France#General_classification
Kurt Van De Wouwer,Belgium,17,tour_de_france_2000,,,,,https://en.wikipedia.org/wiki/2000_Tour_de_France#General_classification
Guido Trentin,Italy,18,tour_de_france_2000,,,,,https://en.wikipedia.org/wiki/2000_Tour_de_France#General_classification
Jean Cyril Robin,France,19,tour_de_france_2000,,,,,https://en.wikipedia.org/wiki/2000_Tour_de_France#General_classification
Geert Verheyen,Belgium,20,tour_de_france_2000,,,,,https://en.wikipedia.org/wiki/2000_Tour_de_France#General_classification
Peter Luttenberger,Austria,21,tour_de_france_2000,,,,,https://en.wikipedia.org/wiki/2000_Tour_de_France#General_classification
Lance Armstrong,United States,1,tour_de_france_2001,,,,,https://en.wikipedia.org/wiki/2001_Tour_de_France
Jan Ullrich,Germany,2,tour_de_france_2001,,,,,https://en.wikipedia.org/wiki/2001_Tour_de_France
Joseba Beloki ,Spain,3,tour_de_france_2001,,,,,https://en.wikipedia.org/wiki/2001_Tour_de_France
Andrei Kivilev,Kazakhstan,4,tour_de_france_2001,,,,,https://en.wikipedia.org/wiki/2001_Tour_de_France
Igor Gonzalez,Spain,5,tour_de_france_2001,,,,,https://en.wikipedia.org/wiki/2001_Tour_de_France
Francois Simon,France,6,tour_de_france_2001,,,,,https://en.wikipedia.org/wiki/2001_Tour_de_France
Oscar Sevilla,Spain,7,tour_de_france_2001,,,,,https://en.wikipedia.org/wiki/2001_Tour_de_France
Santiago Botero,Colombia,8,tour_de_france_2001,,,,,https://en.wikipedia.org/wiki/2001_Tour_de_France
Marcos Antonio Seraano,Spain,9,tour_de_france_2001,,,,,https://en.wikipedia.org/wiki/2001_Tour_de_France
Michael Boogerd,Netherlands,10,tour_de_france_2001,,,,,https://en.wikipedia.org/wiki/2001_Tour_de_France
Didier Rous,France,11,tour_de_france_2001,,,,,https://en.wikipedia.org/wiki/2001_Tour_de_France
Inigo Chaurreau,Spain,12,tour_de_france_2001,,,,,https://en.wikipedia.org/wiki/2001_Tour_de_France
Francisco Mancebo,Spain,13,tour_de_france_2001,,,,,https://en.wikipedia.org/wiki/2001_Tour_de_France
Stefano Garzelli,Italy,14,tour_de_france_2001,,,,,https://en.wikipedia.org/wiki/2001_Tour_de_France
Roberto Heras,Spain,15,tour_de_france_2001,,,,,https://en.wikipedia.org/wiki/2001_Tour_de_France
Alexander Vinokourov,Kazakhstan,16,tour_de_france_2001,,,,,https://en.wikipedia.org/wiki/2001_Tour_de_France
Alexander Bocharov,Russia,17,tour_de_france_2001,,,,,https://en.wikipedia.org/wiki/2001_Tour_de_France
Bobby Julich,United States,18,tour_de_france_2001,,,,,https://en.wikipedia.org/wiki/2001_Tour_de_France
Laurent Jalabert,France,19,tour_de_france_2001,,,,,https://en.wikipedia.org/wiki/2001_Tour_de_France
Carlos Sastre,Spain,20,tour_de_france_2001,,,,,https://en.wikipedia.org/wiki/2001_Tour_de_France
Tomasz Brozyna,Poland,21,tour_de_france_2001,,,,,https://en.wikipedia.org/wiki/2001_Tour_de_France
Lance Armstrong,United States,1,tour_de_france_2002,,,,,https://en.wikipedia.org/wiki/2002_Tour_de_France
Joseba Beloki ,Spain,2,tour_de_france_2002,,,,,https://en.wikipedia.org/wiki/2002_Tour_de_France
Raimondas Rumsas,Lithuania,3,tour_de_france_2002,,,,,https://en.wikipedia.org/wiki/2002_Tour_de_France
Santiago Botero,Colombia,4,tour_de_france_2002,,,,,https://en.wikipedia.org/wiki/2002_Tour_de_France
Igor Gonzalez,Spain,5,tour_de_france_2002,,,,,https://en.wikipedia.org/wiki/2002_Tour_de_France
Jose Azevedo,Portugal,6,tour_de_france_2002,,,,,https://en.wikipedia.org/wiki/2002_Tour_de_France
Francisco Mancebo,Spain,7,tour_de_france_2002,,,,,https://en.wikipedia.org/wiki/2002_Tour_de_France
Levi Leipheimer,United States,8,tour_de_france_2002,,,,,https://en.wikipedia.org/wiki/2002_Tour_de_France
Roberto Heras,Spain,9,tour_de_france_2002,,,,,https://en.wikipedia.org/wiki/2002_Tour_de_France
Carlos Sastre,Spain,10,tour_de_france_2002,,,,,https://en.wikipedia.org/wiki/2002_Tour_de_France
Ivan Basso,Italy,11,tour_de_france_2002,,,,,https://en.wikipedia.org/wiki/2002_Tour_de_France
Michael Boogerd,Netherlands,12,tour_de_france_2002,,,,,https://en.wikipedia.org/wiki/2002_Tour_de_France
David Monoutie,France,13,tour_de_france_2002,,,,,https://en.wikipedia.org/wiki/2002_Tour_de_France
Massimiliano Lelli,Italy,14,tour_de_france_2002,,,,,https://en.wikipedia.org/wiki/2002_Tour_de_France
Tyler Hamilton,United States,15,tour_de_france_2002,,,,,https://en.wikipedia.org/wiki/2002_Tour_de_France
Richard Virenque,France,16,tour_de_france_2002,,,,,https://en.wikipedia.org/wiki/2002_Tour_de_France
Stephane Goubert,France,17,tour_de_france_2002,,,,,https://en.wikipedia.org/wiki/2002_Tour_de_France
Unia Osa,Spain,18,tour_de_france_2002,,,,,https://en.wikipedia.org/wiki/2002_Tour_de_France
Nicolas Vogondy,France,19,tour_de_france_2002,,,,,https://en.wikipedia.org/wiki/2002_Tour_de_France
Nicki Sorensen,Denmark,20,tour_de_france_2002,,,,,https://en.wikipedia.org/wiki/2002_Tour_de_France
Andrei Kivilev,Kazakhstan,21,tour_de_france_2002,,,,,https://en.wikipedia.org/wiki/2002_Tour_de_France
Lance Armstrong,United States,1,tour_de_france_2003,,,,,https://en.wikipedia.org/wiki/2003_Tour_de_France
Jan Ullrich,Germany,2,tour_de_france_2003,,,,,https://en.wikipedia.org/wiki/2003_Tour_de_France
Alexander Vinokourov,Kazakhstan,3,tour_de_france_2003,,,,,https://en.wikipedia.org/wiki/2003_Tour_de_France
Tyler Hamilton,United States,4,tour_de_france_2003,,,,,
Spain,Spain,5,tour_de_france_2003,,,,,https://en.wikipedia.org/wiki/2003_Tour_de_France
Iban Mayo,Spain,6,tour_de_france_2003,,,,,https://en.wikipedia.org/wiki/2003_Tour_de_France
Ivan Basso,Italy,7,tour_de_france_2003,,,,,https://en.wikipedia.org/wiki/2003_Tour_de_France
Christophe Moreau,France,8,tour_de_france_2003,,,,,https://en.wikipedia.org/wiki/2003_Tour_de_France
Carlos Sastre,Spain,9,tour_de_france_2003,,,,,https://en.wikipedia.org/wiki/2003_Tour_de_France
Francisco Mancebo,Spain,10,tour_de_france_2003,,,,,https://en.wikipedia.org/wiki/2003_Tour_de_France
Denis Menchov,Russia,11,tour_de_france_2003,,,,,https://en.wikipedia.org/wiki/2003_Tour_de_France
Georg Totschnig,Austria,12,tour_de_france_2003,,,,,https://en.wikipedia.org/wiki/2003_Tour_de_France
Peter Luttenberger,Austria,13,tour_de_france_2003,,,,,https://en.wikipedia.org/wiki/2003_Tour_de_France
Manuel Beltran,Spain,14,tour_de_france_2003,,,,,https://en.wikipedia.org/wiki/2003_Tour_de_France
Massimiliano Lelli,Italy,15,tour_de_france_2003,,,,,https://en.wikipedia.org/wiki/2003_Tour_de_France
Richard Virenque,France,16,tour_de_france_2003,,,,,https://en.wikipedia.org/wiki/2003_Tour_de_France
Jorg Jaksche,Germany,17,tour_de_france_2003,,,,,https://en.wikipedia.org/wiki/2003_Tour_de_France
Roberto Laiseka,Spain,18,tour_de_france_2003,,,,,https://en.wikipedia.org/wiki/2003_Tour_de_France
Jose Luis Rubiera,Spain,19,tour_de_france_2003,,,,,https://en.wikipedia.org/wiki/2003_Tour_de_France
Didier Rous,France,20,tour_de_france_2003,,,,,https://en.wikipedia.org/wiki/2003_Tour_de_France
Laurent Dufaux,Switzerland,21,tour_de_france_2003,,,,,https://en.wikipedia.org/wiki/2003_Tour_de_France
Lance Armstrong,United States,1,tour_de_france_2004,,,,,https://en.wikipedia.org/wiki/2004_Tour_de_France
Andreas Kloden,Germany,2,tour_de_france_2004,,,,,https://en.wikipedia.org/wiki/2004_Tour_de_France
Ivan Basso,Italy,3,tour_de_france_2004,,,,,https://en.wikipedia.org/wiki/2004_Tour_de_France
Jan Ullrich,Germany,4,tour_de_france_2004,,,,,https://en.wikipedia.org/wiki/2004_Tour_de_France
Jose Azevedo,Portugal,5,tour_de_france_2004,,,,,https://en.wikipedia.org/wiki/2004_Tour_de_France
Francisco Mancebo,Spain,6,tour_de_france_2004,,,,,https://en.wikipedia.org/wiki/2004_Tour_de_France
Georg Totschnig,Austria,7,tour_de_france_2004,,,,,https://en.wikipedia.org/wiki/2004_Tour_de_France
Carlos Sastre,Spain,8,tour_de_france_2004,,,,,https://en.wikipedia.org/wiki/2004_Tour_de_France
Levi Leipheimer,United States,9,tour_de_france_2004,,,,,https://en.wikipedia.org/wiki/2004_Tour_de_France
Oscar Pereiro,Spain,10,tour_de_france_2004,,,,,https://en.wikipedia.org/wiki/2004_Tour_de_France
Pietro Caucchioli,Italy,11,tour_de_france_2004,,,,,https://en.wikipedia.org/wiki/2004_Tour_de_France
Christophe Moreau,France,12,tour_de_france_2004,,,,,https://en.wikipedia.org/wiki/2004_Tour_de_France
Vladimir Karpets,Russia,13,tour_de_france_2004,,,,,https://en.wikipedia.org/wiki/2004_Tour_de_France
Michael Rasmussen,Denmark,14,tour_de_france_2004,,,,,https://en.wikipedia.org/wiki/2004_Tour_de_France
Richard Virenque,France,15,tour_de_france_2004,,,,,https://en.wikipedia.org/wiki/2004_Tour_de_France
Sandy Casar,France,16,tour_de_france_2004,,,,,https://en.wikipedia.org/wiki/2004_Tour_de_France
Gilberto Simoi,Italy,17,tour_de_france_2004,,,,,https://en.wikipedia.org/wiki/2004_Tour_de_France
Thomas Voeckler,France,18,tour_de_france_2004,,,,,https://en.wikipedia.org/wiki/2004_Tour_de_France
Jose Luis Rubiera,Spain,19,tour_de_france_2004,,,,,https://en.wikipedia.org/wiki/2004_Tour_de_France
Stephane Goubert,France,20,tour_de_france_2004,,,,,https://en.wikipedia.org/wiki/2004_Tour_de_France
Axel Merckx,Belgium,21,tour_de_france_2004,,,,,https://en.wikipedia.org/wiki/2004_Tour_de_France
Lance Armstrong,United States,1,tour_de_france_2005,,,,,https://en.wikipedia.org/wiki/2005_Tour_de_France
Ivan Basso,Italy,2,tour_de_france_2005,,,,,https://en.wikipedia.org/wiki/2005_Tour_de_France
Jan Ullrich,Germany,3,tour_de_france_2005,,,,,https://en.wikipedia.org/wiki/2005_Tour_de_France
Francisco Mancebo,Spain,4,tour_de_france_2005,,,,,https://en.wikipedia.org/wiki/2005_Tour_de_France
Alexander Vinokourov,Kazakhstan,5,tour_de_france_2005,,,,,https://en.wikipedia.org/wiki/2005_Tour_de_France
Levi Leipheimer,United States,6,tour_de_france_2005,,,,,https://en.wikipedia.org/wiki/2005_Tour_de_France
Michael Rasmussen,Denmark,7,tour_de_france_2005,,,,,https://en.wikipedia.org/wiki/2005_Tour_de_France
Cadel Evans,Australia ,8,tour_de_france_2005,,,,,https://en.wikipedia.org/wiki/2005_Tour_de_France
Floyd Landis,United States,9,tour_de_france_2005,,,,,https://en.wikipedia.org/wiki/2005_Tour_de_France
Oscar Pereiro,Spain,10,tour_de_france_2005,,,,,https://en.wikipedia.org/wiki/2005_Tour_de_France
Christophe Moreau,France,11,tour_de_france_2005,,,,,https://en.wikipedia.org/wiki/2005_Tour_de_France
Yaroslav Popovych,Ukraine,12,tour_de_france_2005,,,,,https://en.wikipedia.org/wiki/2005_Tour_de_France
Eddy Mazzoleni,Italy,13,tour_de_france_2005,,,,,https://en.wikipedia.org/wiki/2005_Tour_de_France
George Hincapie,United States,14,tour_de_france_2005,,,,,https://en.wikipedia.org/wiki/2005_Tour_de_France
Haimar Zubeldia,Haimar Zubeldia,15,tour_de_france_2005,,,,,https://en.wikipedia.org/wiki/2005_Tour_de_France
Jorg Jaksche,Germany,16,tour_de_france_2005,,,,,https://en.wikipedia.org/wiki/2005_Tour_de_France
Bobby Julich,United States,17,tour_de_france_2005,,,,,https://en.wikipedia.org/wiki/2005_Tour_de_France
Oscar Sevilla,Spain,18,tour_de_france_2005,,,,,https://en.wikipedia.org/wiki/2005_Tour_de_France
Andrey Kashechkin,Kazakhstan,19,tour_de_france_2005,,,,,https://en.wikipedia.org/wiki/2005_Tour_de_France
Giuseppe Guerini,Italy,20,tour_de_france_2005,,,,,https://en.wikipedia.org/wiki/2005_Tour_de_France
Carlos Sastre,Spain,21,tour_de_france_2005,,,,,https://en.wikipedia.org/wiki/2005_Tour_de_France
Floyd Landis,United States,1,tour_de_france_2006,,,,,https://en.wikipedia.org/wiki/2006_Tour_de_France
Oscar Pereiro,Spain,2,tour_de_france_2006,,,,,https://en.wikipedia.org/wiki/2006_Tour_de_France
Andreas Kloden,Germany,3,tour_de_france_2006,,,,,https://en.wikipedia.org/wiki/2006_Tour_de_France
Carlos Sastre,Spain,4,tour_de_france_2006,,,,,https://en.wikipedia.org/wiki/2006_Tour_de_France
Cadel Evans,Australia ,5,tour_de_france_2006,,,,,https://en.wikipedia.org/wiki/2006_Tour_de_France
Denis Menchov,Russia,6,tour_de_france_2006,,,,,https://en.wikipedia.org/wiki/2006_Tour_de_France
Cyril Dessel,France,7,tour_de_france_2006,,,,,https://en.wikipedia.org/wiki/2006_Tour_de_France
Christophe Moreau,France,8,tour_de_france_2006,,,,,https://en.wikipedia.org/wiki/2006_Tour_de_France
Haimar Zubeldia,Spain,9,tour_de_france_2006,,,,,https://en.wikipedia.org/wiki/2006_Tour_de_France
Michael Rogers,Australia ,10,tour_de_france_2006,,,,,https://en.wikipedia.org/wiki/2006_Tour_de_France
Frank Schleck,Luxemborg,11,tour_de_france_2006,,,,,https://en.wikipedia.org/wiki/2006_Tour_de_France
Damiano Cunego,Italy,12,tour_de_france_2006,,,,,https://en.wikipedia.org/wiki/2006_Tour_de_France
Levi Leipheimer,United States,13,tour_de_france_2006,,,,,https://en.wikipedia.org/wiki/2006_Tour_de_France
Michael Boogerd,Netherlands,14,tour_de_france_2006,,,,,https://en.wikipedia.org/wiki/2006_Tour_de_France
Markus Fothen,Germany,15,tour_de_france_2006,,,,,https://en.wikipedia.org/wiki/2006_Tour_de_France
Pietro Caucchioli,Italy,16,tour_de_france_2006,,,,,https://en.wikipedia.org/wiki/2006_Tour_de_France
Tadej Valjavec,Slovenia,17,tour_de_france_2006,,,,,https://en.wikipedia.org/wiki/2006_Tour_de_France
Michael Rasmussen,Denmark,18,tour_de_france_2006,,,,,https://en.wikipedia.org/wiki/2006_Tour_de_France
Jose Azevedo,Portugal,19,tour_de_france_2006,,,,,https://en.wikipedia.org/wiki/2006_Tour_de_France
Marzio Bruseghin,Italy,20,tour_de_france_2006,,,,,https://en.wikipedia.org/wiki/2006_Tour_de_France
David Arroyo,Spain,21,tour_de_france_2006,,,,,https://en.wikipedia.org/wiki/2006_Tour_de_France
Alberto Contado,Spain,1,tour_de_france_2007,,,,,http://www.procyclingstats.com/race/Tour_de_France_2007
Cadel Evans,Australia ,2,tour_de_france_2007,,,,,http://www.procyclingstats.com/race/Tour_de_France_2007
Levi Leipheimer,United States,3,tour_de_france_2007,,,,,http://www.procyclingstats.com/race/Tour_de_France_2007
Carlos Sastre,Spain,4,tour_de_france_2007,,,,,http://www.procyclingstats.com/race/Tour_de_France_2007
