name,country,result,event,male_offspring,female_offspring,source,comment,result_source
Kieren Perkins,Australia,14:58.34,olympic_1500_2000,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Swimming_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_1500_metre_freestyle
Erik Vendt,United States,15:05.11,olympic_1500_2000,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Swimming_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_1500_metre_freestyle
Grant Hackett,Australia,15:07.50,olympic_1500_2000,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Swimming_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_1500_metre_freestyle
Ryk Neethling,South Africa,15:09.12,olympic_1500_2000,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Swimming_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_1500_metre_freestyle
Alexei Filipets,Russia,15:10.94,olympic_1500_2000,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Swimming_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_1500_metre_freestyle
Chris Thompson,United States,15:11.21,olympic_1500_2000,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Swimming_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_1500_metre_freestyle
Heiko Hell,Germany,15:11.91,olympic_1500_2000,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Swimming_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_1500_metre_freestyle
Igor Chervynskiy,Ukraine,15:12.30,olympic_1500_2000,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Swimming_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_1500_metre_freestyle
Dragoș Coman,Romania,15:12.64,olympic_1500_2000,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Swimming_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_1500_metre_freestyle
Christian Minotti,Italy,15:12.72,olympic_1500_2000,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Swimming_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_1500_metre_freestyle
Nicolas Rostoucher,France,15:13.26,olympic_1500_2000,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Swimming_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_1500_metre_freestyle
Frederik Hviid,Spain,15:14.37,olympic_1500_2000,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Swimming_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_1500_metre_freestyle
Masato Hirano,Japan,15:14.43,olympic_1500_2000,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Swimming_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_1500_metre_freestyle
Igor Snitko,Ukraine,15:14.67,olympic_1500_2000,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Swimming_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_1500_metre_freestyle
Ricardo Monasterio,Venezuela,15:17.00,olympic_1500_2000,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Swimming_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_1500_metre_freestyle
Yota Arase,Japan,15:18.20,olympic_1500_2000,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Swimming_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_1500_metre_freestyle
Paul Palmer,Great Britain,15:21.09,olympic_1500_2000,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Swimming_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_1500_metre_freestyle
Luiz Lima,Brazil,15:23.15,olympic_1500_2000,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Swimming_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_1500_metre_freestyle
