name,country,result,event,male_offspring,female_offspring,source,comment,result_source,,,rank
Lance Armstrong,United States,NA,tour_de_france_2000,,,,,https://en.wikipedia.org/wiki/2000_Tour_de_France#General_classification,,,1
Jan Ullrich,Germany,NA,tour_de_france_2000,,,,,https://en.wikipedia.org/wiki/2000_Tour_de_France#General_classification,,,2
Joseba Beloki ,Spain,NA,tour_de_france_2000,,,,,https://en.wikipedia.org/wiki/2000_Tour_de_France#General_classification,,,3
Christophe Moreau,France,NA,tour_de_france_2000,,,,,https://en.wikipedia.org/wiki/2000_Tour_de_France#General_classification,,,4
Roberto Heras,Spain,NA,tour_de_france_2000,,,,,https://en.wikipedia.org/wiki/2000_Tour_de_France#General_classification,,,5
Richard Virenque,France,NA,tour_de_france_2000,,,,,https://en.wikipedia.org/wiki/2000_Tour_de_France#General_classification,,,6
Santiago Botero,Colombia,NA,tour_de_france_2000,,,,,https://en.wikipedia.org/wiki/2000_Tour_de_France#General_classification,,,7
Fernanado Escartin,Spain,NA,tour_de_france_2000,,,,,https://en.wikipedia.org/wiki/2000_Tour_de_France#General_classification,,,8
Francisco Mancebo,Spain,NA,tour_de_france_2000,,,,,https://en.wikipedia.org/wiki/2000_Tour_de_France#General_classification,,,9
Daniele Nardello,Italy,NA,tour_de_france_2000,,,,,https://en.wikipedia.org/wiki/2000_Tour_de_France#General_classification,,,10
Manuel Beltran,Spain,NA,tour_de_france_2000,,,,,https://en.wikipedia.org/wiki/2000_Tour_de_France#General_classification,,,11
Pascal Herve,France,NA,tour_de_france_2000,,,,,https://en.wikipedia.org/wiki/2000_Tour_de_France#General_classification,,,12
Javier Otxoa,Spain,NA,tour_de_france_2000,,,,,https://en.wikipedia.org/wiki/2000_Tour_de_France#General_classification,,,13
Felix Manuel Garcia,Spain,NA,tour_de_france_2000,,,,,https://en.wikipedia.org/wiki/2000_Tour_de_France#General_classification,,,14
